"After finishing a meal",1," الْحَمْدُ لِلَّهِ الَّذِى اطْعَمَنَا وَسَقَانَا ، وَجَعَلنَا مُسْلِمِينَ","Alhamdulilahil ladhi at’amana, wasaqana, waj’alna min-al Muslimeen","Praise be to Allah Who has fed us and given us drink and made us Muslims.","Abu Dawud"
"For protection and help from Allah",10," اللَّهُمَّ إِنِّي أَسْأَلُكَ الْعَفْوَ وَالْعَافِيَةَ فِي الدُّنْيَا وَالْآخِرَةِ، اللَّهُمَّ إِنِّي أَسْأَلُكَ الْعَفْوَ وَالْعَافِيَةَ فِي دِينِي وَدُنْيَايَ وَأَهْللِي، وَمَالِي، اللَّهُمَّ اسْتُرْ عَوْرَاتِي، وَآمِنْ رَوْعَاتِي، اللَّهُمَّ احْفَظْنِي مِنْ بَيْنِ يَدَيَّ، وَمِنْ خَلْفِي، وَعَنْ يَمِينِي، وَعَنْ شِمَالِي، وَمِنْ فَوْقِي، وَأَعُوذُ بِعَظَمَتِكَ أَنْ أُغْتَالَ مِنْ تَحْتِي","Allaahumma 'innee 'as'alukal-'afwa wal'aafiyata fid-dunyaa wal'aakhirati, Allaahumma 'innee 'as'alukal-'afwa wal'aafiyata fee deenee wa dunyaaya wa 'ahlee, wa maalee , Allaahum-mastur 'awraatee, wa 'aamin raw'aatee, Allaahum-mahfadhnee min bayni yadayya, wa min khalfee, wa 'an yameenee, wa 'an shimaalee, wa min fawqee, wa 'a'oothu bi'adhamatika 'an 'ughtaala min tahtee","O Allah, I seek Your forgiveness and Your protection in this world and the next. O Allah, I seek Your forgiveness and Your protection in my religion, in my worldly affairs, in my family and in my wealth. O Allah, conceal my secrets and preserve me from anguish . O Allah , guard me from what is in front of me and behind me , from my left , and from my right , and from above me . I seek refuge in Your Greatness from being struck down from beneath me.","Ibn Majah: 3871, Abu Dawud: 5074"
"For protection from ignorance",1," أَعُوذُ بِاللَّهِ أَنْ أَكُونَ مِنَ الْجَاهِلِينَ","Aoothu billahi an akoona minal jahileen","I seek refuge in Allah from being among the ignorant.","Surah Al-Baqarah - 2:67"
"For protection from oppressors",2," اللّهُـمَّ أَنْتَ عَضُـدي، وَأَنْتَ نَصـيري، بِكَ أَجـولُ وَبِكَ أَصـولُ وَبِكَ أُقـاتِل","Allaahumma 'Anta 'adhudee, wa 'Anta naseeree, bika 'ajoolu, wa bika 'asoolu, wa bika 'uqaatilu","O Allah, You are my strength and You are my support. For Your sake I go forth and for Your sake I advance and for Your sake I fight.","Abu Dawud: 2632"
Error getting data from https://www.islamicfinder.org/duas/masnoon/for-protection-from-satan-shaytan/
"For protection from the wrongdoers",4," عَلَى اللَّهِ تَوَكَّلْنَا رَبَّنَا لَا تَجْعَلْنَا فِتْنَةً لِلْقَوْمِ الظَّالِمِينَ
 وَنَجِّنَا بِرَحْمَتِكَ مِنَ الْقَوْمِ الْكَافِرِينَ","Alal Allahi thawakkalna rabbana la taj'alna fitnatal lil-qawmidh-Dhalimeen.
 Wa najjina bi-Rahmatika minal qawmil kafireen.","Upon Allah do we rely. Our Lord, make us not [objects of] trial for the wrongdoing people.
 And save us by Your mercy from the disbelieving people.","Surah Yunus - 10:85-86"
"For rain",1," اللّهُمَّ اَسْقِـنا غَيْـثاً مُغيـثاً مَريئاً مُريـعاً، نافِعـاً غَيْـرَ ضَّارٌ، عاجِـلاً غَـيْرَ آجِلٍ","Allaahumma 'asqinaa ghaythan mugheethan maree'an maree'an, naafi'an ghayradhaarrin, 'aajilan ghayra 'aajilin.","O Allah, shower upon us abundant rain, beneficial not harmful, swiftly and not delayed.","Abu Dawud 1:303"
"For reciting at Al-Mash'ar Al-Haraam",1," أَللّهُ أَكْبَرُ
 أَللّهُ أَحَدٌ
 لاَإِلَهَ إِلاَّ اللهُ","Allaahu 'Akbar
 Allaahu 'Ahad
 Laa 'ilaaha 'illallaah","Allah is the Most Great.
 Allah is One.
 There is none worthy of worship but Allah.","Muslim 2:891"
"For repentance",2," ذَٰلِكُمُ اللَّهُ رَبِّي عَلَيْهِ تَوَكَّلْتُ وَإِلَيْهِ أُنِيبُ","Dhalikumu Allahu rabbee alayhi tawakkaltu wa-ilayhi uneeb","(And say O Muhammad SAW to these polytheists:) Such is Allah, my Lord in Whom I put my trust, and to Him I turn in all of my affairs and in repentance.","Surah Ash-Shuraa - 42:10"
"For righteous company",4," فَاطِرَ السَّمَاوَاتِ وَالْأَرْضِ أَنْتَ وَلِيِّي فِي الدُّنْيَا وَالْآخِرَةِ ۖ تَوَفَّنِي مُسْلِمًا وَأَلْحِقْنِي بِالصَّالِحِينَ","fatira assamawatiwal-ardi anta waliyyee fee addunyawal-akhirati tawaffanee musliman waalhiqneebissaliheen","Creator of the heavens and earth, You are my protector in this world and in the Hereafter. Cause me to die a Muslim and join me with the righteous.","Surah Yusuf - 12:101"
"For Rizq (sustenance)",7," اللَّهُ لَطِيفٌ بِعِبَادِهِ يَرْزُقُ مَن يَشَاءُ ۖ وَهُوَ الْقَوِيُّ الْعَزِيزُ","Allahu lateefun biAAibadihiyarzuqu man yashao wahuwa alqawiyyu alAAazeez","Allah is very Gracious and Kind to His slaves. He gives provisions to whom He wills. And He is the All-Strong, the All-Mighty.","Surah Ash-Shuraa - 42:19"
"For seeking Allah's help",4," إِنَّمَا أَشْكُو بَثِّي وَحُزْنِي إِلَى اللَّهِ وَأَعْلَمُ مِنَ اللَّهِ مَا لَا تَعْلَمُونَ","Innama ashkoo baththee wahuzneeila Allahi waaAAlamu mina Allahi ma lataAAlamoon","I only complain of my suffering and my grief to Allah, and I know from Allah that which you do not know.","Surah Yusuf - 12:86"
"For someone who lends you money",1," بارَكَ اللهُ لَكَ في أَهْلِكَ وَمالِك، إِنَّما جَـزاءُ السَّلَفِ الْحَمْدُ والأَدَاء","Baarakallaahu laka fee 'ahlika wa maalika, 'innamaa jazaa'us-salafil-hamdu wal'adaa'","May Allah bless you in your family and your wealth, surely the reward for a loan is praise and returning (what was borrowed).","Ibn Majah: 2424"
"For someone who offers you a meal",1," اللّهُـمَّ أَطْعِمْ مَن أَطْعَمَني، وَاسْقِ مَن سَقَانِي","Allaahumma 'at'im man 'at'amanee wasqi man saqaanee","O Allah, feed the one who has fed me and drink to the one who has given me drink.","Muslim 3:126"
"For someone who provides you with Iftar",2," أَفْطَـرَ عِنْدَكُم الصّـائِمونَ وَأَكَلَ طَعامَـكُمُ الأبْـرار، وَصَلَّـتْ عَلَـيْكُمُ الملائِكَـة","Aftara 'indakumus-saa'imoona, wa 'akala ta'aamakumul-'abraaru , wa sallat 'alaykumul-malaa'ikatu","With you, those who are fasting have broken their fast, you have fed those who are righteous, and the angels recite their prayers upon you.","Abu Dawud: 3854"
"For success",3," وَمَا تَوْفِيقِي إِلَّا بِاللَّهِ ۚ عَلَيْهِ تَوَكَّلْتُ وَإِلَيْهِ أُنِيبُ","Wama tawfeeqee illa billahiAAalayhi tawakkaltu wa-ilayhi oneeb","My success is not but through Allah. Upon him I have relied, and to Him I return.","Surah Hud - 11:88"
"For thanking Allah (SWT)",10," سُبْحَانَ اللهِ ، والْحَمْدُ للهِ ، وَاللهُ أَكْبَرُ","Subhaanallaahi, Walhamdu lillaahi, Wallaahu 'Akbar","Glory is to Allah, praise is to Allah, Allah is the Most Great!","Muslim 4:2091"
"For thanking someone",1," جَزاكَ اللهُ خَـيْراً","Jazaakallaahu khayran","May Allah reward you with good.","At-Tirmidhi: 2035"
"For the deceased at the funeral prayer",3," الَّلهُـمِّ إِنَّ فُلانَ بْنَ فُلانٍ في ذِمَّـتِك ، وَحَبْـلِ جِـوارِك ، فَقِـهِ مِنْ فِتْـنَةِ الْقَـبْرِ وَعَذابِ النّـار ، وَأَنْتَ أَهْلُ الْوَفـاءِ وَالْـحَقِّ ، فَاغْفِـرْ لَهُ وَارْحَمْـهُ ، إِنَّكَ أَنْتَ الغَـفورُ الـرَّحيم","Allaahumma 'inna [name the person] fee thimmatika, wa habli jiwaarika, faqihi min fitnatil-qabri wa 'athaabin-naari, wa 'Anta 'ahlul-wafaa'i walhaqqi. Faghfir lahu warhaw.hu 'innaka 'Antal-Ghafoorur-Raheem","O Allah, surely [name the person] is under Your protection, and in the rope of Your security, so save him from the trial of the grave and from the punishment of the Fire. You fulfill promises and grant rights, so forgive him and have mercy on him. Surely You are Most Forgiving, Most Merciful.","Abu Dawud: 3202, Ibn Majah: 1499"
"For the night of destiny (Lailatul Qadr)",1," اَللَّهُمَّ اِنَّكَ عَفُوٌّ ، تُحِبُّ الْعَفْوَ فَاعْفُ عَنِّي","Allahumma innaka `afuwwun tuhibbul `afwa fa`fu `annee","O Allah You are The One Who forgives greatly, and loves to forgive, so forgive me","Ibn Majah: 3850, At-Tirmidhi: 3513"
"For this world and the aakhira",6," رَبَّنَا إِنَّكَ جَامِعُ النَّاسِ لِيَوْمٍ لاَّ رَيْبَ فِيهِ إِنَّ اللّهَ لاَ يُخْلِفُ الْمِيعَادَ","Rabbana innaka jami'unnasi li-Yawmil la rayba fi innAllaha la yukhliful mi'aad","Our Lord, surely You will gather the people for a Day about which there is no doubt. Indeed, Allah does not fail in His promise.","Surah Al-Imran - 3:9"
"For travel",2," رَّبِّ اَدْخِلْنِيْ مُدْخَلَ صِدْقٍ وَّاَخْرِجْنِيْ مُخْــرَجَ صِدْقٍ وَّاجْعَلْ لِّيْ مِنْ لَّدُنْكَ سُلْطٰنًا نَّصِيْرًا","Rabbi Adkhilnee Mudkhala S’idqiw Wa Akhrijnee Mukhraja S’diqiw Waj-a’l Lee Mil Ladunkaa Sult’aanan Nas’eeraa","My Lord! Let my entry (to the city of Al-Madinah) be good, and likewise my exit (from the city of Makkah) be good. And grant me from You an authority to help me (or a firm sign or a proof).","Surah Al-Israa 17:80"
"For your child's protection",2," أُعيـذُكُمـا بِكَلِـماتِ اللهِ التّـامَّة، مِنْ كُلِّ شَيْـطانٍ وَهـامَّة، وَمِنْ كُـلِّ عَـيْنٍ لامَّـة","U'eethukumaa bikalimaatil-laahit-taammati min kulli shaytaanin wa haammatin, wa min kulli 'aynin laammatin","I seek protection for you in the Perfect Words of Allah from every devil and every beast, and from every envious blameworthy eye.","Abu Dawud: 4737"
"Forgiveness for your parents and all Muslims",1," رَبَّنَا اغْفِرْ لِي وَلِوَالِدَيَّ وَلِلْمُؤْمِنِينَ يَوْمَ يَقُومُ الْحِسَابُ","Rabbana ghfir li wa li wallidayya wa lil Mu'mineena yawma yaqumul hisaab","O our Lord! Cover (us) with Thy Forgiveness - me, my parents, and (all) Believers, on the Day that the Reckoning will be established!","Surah Ibraheem - 14:41"
"Forgiveness for your siblings",2," رَبِّ اغْفِرْ لِي وَلِأَخِي وَأَدْخِلْنَا فِي رَحْمَتِكَ ۖ وَأَنْتَ أَرْحَمُ الرَّاحِمِينَ","Rabbi ighfir lee wali akhee wa adkhilna fee rahmatika wa anta arhamur rahimeen","O my Lord! Forgive me and my brother, and make us enter into Your Mercy, for you are the Most Merciful of those who show mercy.","Surah Al-A'raf - 7:151"
"Grant me confidence and eloquence",2," سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنْتَ الْعَلِيمُ الْحَكِيمُ","Subhanaka laAAilma lana illa ma AAallamtanainnaka anta alAAaleemu alhakeem","Glory be to You, we have no knowledge except what you have taught us. Verily, it is You, the All-Knower, the All-Wise.","Surah Al-Baqarah - 2:32"
"If you fall on hard times",3," أَنِّي مَسَّنِيَ الضُّرُّ وَأَنتَ أَرْحَمُ الرَّاحِمِينَ","Annee massaniya addurru waanta arhamuarrahimeen","Indeed, adversity has touched me, and you are the Most Merciful of the merciful.","Surah Al-Anbiya - 21:83"
"In the last moments of one's life",1," أللّهُـمَّ اغْفِـرْ لي وَارْحَمْـني وَأَلْحِقْـني بِالرَّفـيقِ الأّعْلـى","Allaahum-maghfir lee warhamnee wa 'alhiqnee bir-rafeeqil-'a'laa","O Allah, forgive me and have mercy upon me and join me with the highest companions (in Paradise).","Al-Bukhari: 5674, At-Tirmidhi: 3496"
"In times of happiness",2," سُبْحَانَ اللهِ
 اللهُ أَكْبرُ","Subhaanallaah
 Allaahu 'Akbar","Glory is to Allah.
 Allah is the Most Great.","At-Tirmidhi 2:103"
"Increase in knowledge",3," رَبِّ هَبْ لِي حُكْمًا وَأَلْحِقْنِي بِالصَّالِحِينَ
 وَاجْعَل لِّي لِسَانَ صِدْقٍ فِي الْآخِرِينَ
 وَاجْعَلْنِي مِن وَرَثَةِ جَنَّةِ النَّعِيمِ
 وَاغْفِرْ لِأَبِي إِنَّهُ كَانَ مِنَ الضَّالِّينَ
 وَلَا تُخْزِنِي يَوْمَ يُبْعَثُونَ
 يَوْمَ لَا يَنفَعُ مَالٌ وَلَا بَنُونَ
 إِلَّا مَنْ أَتَى اللَّهَ بِقَلْبٍ سَلِيمٍ","Rabbi hab lee hukman wa alhiqnee bis saliheen.
 Waj'al lee lisana sidqin fil akhireen.
 Waj'al nee min warathati jannatin na'eem.
 Waghfir li-abee innahu kanamina addalleen.
 Wala tukhzinee yawma yub'asoon.
 Yawma la yanfa'u malun walaa banoon.
 Illa man ata Allah bi qalbin saleem.","My Lord! Bestow Hukman (religious knowledge, right judgement of the affairs and Prophethood) on me, and join me with the righteous.
 And grant me an honourable mention in later generations.
 And place me among the inheritors of the Garden of Pleasure.
 And forgive my father. Indeed, he has been of those astray.
 And disgrace me not on the Day when (all the creatures) will be resurrected.
 The Day when there will not benefit [anyone] wealth or children,
 But only one who comes to Allah with a sound heart.","Surah Ash-Shu'araa - 26:83-89"
"Morning remembrance",10," اللَّهُمَّ عَالِمَ الْغَيْبِ وَالشَّهَادَةِ فَاطِرَ السَّماوَاتِ وَالْأَرْضِ، رَبَّ كُلِّ شَيْءٍ وَمَلِيكَهُ، أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا أَنْتَ، أَعُوذُ بِكَ مِنْ شَرِّ نَفْسِي، وَمِنْ شَرِّ الشَّيْطَانِ وَشِرْكِهِ، وَأَنْ أَقْتَرِفَ عَلَى نَفْسِي سُوءاً أَوْ أَجُرَّهُ إِلَى مُسْلِمٍ.","Allahumma AAalimal-ghaybi washshahadah, fatiras-samawati wal-ard, rabba kulli shayin wamaleekah, ashhadu an la ilaha illa ant, aAAoothu bika min sharri nafsee wamin sharrish-shaytani washirkih, waan aqtarifa AAala nafsee soo-an aw ajurrahu ila muslim.","O Allah, Knower of the unseen and the seen, Creator of the heavens and the Earth, Lord and Sovereign of all things, I bear witness that none has the right to be worshipped except You. I take refuge in You from the evil of my soul and from the evil and shirk of the devil, and from committing wrong against my soul or bringing such upon another Muslim.","At-Tirmidhi 3:142"
"Offer Salah regularly",1," إِنَّ رَبِّي لَسَمِيعُ الدُّعَاءِ
 رَبِّ اجْعَلْنِي مُقِيمَ الصَّلَاةِ وَمِنْ ذُرِّيَّتِي ۚ رَبَّنَا وَتَقَبَّلْ دُعَاءِ","Inna Rabbee la samee ud duaa.
 Rabbij alnee muqeemas salaati wa min thurriyyatee rabbana wa taqabbal duaa","Indeed, my Lord is the Hearer of supplication.
 My Lord, make me an establisher of prayer, and [many] from my descendants. Our Lord, and accept my supplication.","Surah Ibraheem - 14:39-40"
"On hearing a bad news",1," الْحَمْـدُ للهِ على كُـلِّ حَالٍ","Alhamdu lillaahi 'alaa kulli haal","Praise is to Allah in all circumstances.","Ibn Majah: 3803, 3804"
"On hearing good news",2," الْحَمْدُ لِلَّهِ مَاشَاء اللَّهُ
 تبارک اللهُ","Alhamdhulillahi Masha Allah
 Thabarak 'Allah","All praise is to Allah, Just as Allah willed
 Blessed is Allah","At-Tirmidhi 2:103"
"On hearing Athan",2," اللَّهُمَّ رَبَّ هَذِهِ الدَّعْوَةِ التَّامَّةِ، وَالصَّلَاةِ الْقَائِمَةِ، آتِ مُحَمَّداً الْوَسِيلَةَ وَالْفَضِيلَةَ، وَابْعَثْهُ مَقَاماً مَحْمُوداً الَّذِي وَعَدْتَهُ، إَنَّكَ لَا تُخْلِفُ الْمِيعَادَ.","Allaahumma Rabba haathid - da'watit - taammati wassalaatil-qaa'imati, 'aati Muhammadanil-waseelata walfadheelata, wab 'ath-hu maqaamam-mahmoodanil-lathee wa'adtahu, 'innaka laa tukhliful-mee'aad","O Allah , Lord of this perfect call and established prayer. Grant Muhammad the intercession and favor, and raise him to the honored station You have promised him, [verily You do not neglect promises].","Al-Bukhari 1:152"
"Upon sighting of the crescent moon",2," اللهُ أَكْـبَر، اللّهُمَّ أَهِلَّـهُ عَلَيْـنا بِالأمْـنِ وَالإيمـان، والسَّلامَـةِ والإسْلامِ، وَالتَّـوْفيـقِ لِما تُحِـبُّ رَبُّنـا وَتَـرْضَـى، رَبُّنـا وَرَبُّكَ اللهُ","Allaahu 'Akbar, Allaahumma 'ahillahu 'alayna bil'amni wal'eemaani, wassalaamati wal-'Islaami, wattawfeeqi limaa tuhibbu Rabbanaa wa tardhaa, Rabbunaa wa Rabbukallaahu.","Allah is the Most Great. O Allah, bring us the new moon with security and Faith, with peace and in Islam, and in harmony with what our Lord loves and what pleases Him. Our Lord and your Lord is Allah.","At-Tirmidhi 5:504"
"Pledge to Allah",2," إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ
 لَا شَرِيكَ لَهُ ۖ وَبِذَٰلِكَ أُمِرْتُ وَأَنَا أَوَّلُ الْمُسْلِمِينَ","inna salatee wanusukee wamahyaya wamamatee lillahi rabbil aalameen.
 La shareeka lahu wa bithalika omirtu wa ana aw walul muslimeen","Indeed, my prayer, my rites of sacrifice, my living and my dying are for Allah , Lord of the worlds.
 He has no partner. And of this I have been commanded, and I am the first of the Muslims.","Surah Al-An'am - 6:162-163"
"Protection from foolishness",1," الَّهُمَّ إِنِّي أَعُوذُ بِكَ أَنْ أَضِلَّ، أّوْ أُضَلَّ، أَوْ أَزِلَّ، أَوْ أُزَلَّ، أَوْ أَظْلِمَ، أَوْ أُظْلَمَ، أَوْ أَجْهَلَ، أَوْ يُجْهَلَ عَلَيَّ","Allaahumma 'innee 'a'oothu bika 'an 'adhilla, 'aw 'udhalla, 'aw 'azilla, 'aw 'uzalla, 'aw 'adhlima, 'aw 'udhlama, 'aw 'ajhala 'aw yujhala 'alayya","O Allah, I seek refuge in You lest I misguide others , or I am misguided by others , lest I cause others to err or I am caused to err , lest I abuse others or be abused, and lest I behave foolishly or meet with the foolishness of others.","Abu Dawud: 5094, Ibn Majah: 3884"
"Seek Allah's guidance",2," فَاللَّهُ خَيْرٌ حَافِظًا ۖ وَهُوَ أَرْحَمُ الرَّاحِمِينَ","fallahu khayrun hafithan wahuwa arhamu arrahimeen","Allah is the best guardian, and He is the most merciful of the merciful.","Surah Yusuf - 12:64"
"Seek Allah's satisfaction",4," رَبَّنَا وَاجْعَلْنَا مُسْلِمَيْنِ لَكَ وَمِن ذُرِّيَّتِنَا أُمَّةً مُّسْلِمَةً لَّكَ وَأَرِنَا مَنَاسِكَنَا وَتُبْ عَلَيْنَآ إِنَّكَ أَنتَ التَّوَّابُ الرَّحِيمُ","Rabbana wa-j'alna Muslimayni laka wa min Dhurriyatina 'Ummatan Muslimatan laka wa 'Arina Manasikana wa tub 'alayna 'innaka 'antat-Tawwabu-Raheem","Our Lord! Make of us Muslims, bowing to Thy (Will), and of our progeny a people Muslim, bowing to Thy (will); and show us our place for the celebration of (due) rites; and turn unto us (in Mercy); for Thou art the Oft-Returning, Most Merciful.","Surah Al-Baqarah - 2:128"
"Seek forgiveness and protection from hell",10," ۭرَبَّنَا لَا تُؤَاخِذْنَآ اِنْ نَّسِيْنَآ اَوْ اَخْطَاْنَا ۚ رَبَّنَا وَلَا تَحْمِلْ عَلَيْنَآ اِصْرًا كَمَا حَمَلْتَهٗ عَلَي الَّذِيْنَ مِنْ قَبْلِنَا ۚ رَبَّنَا وَلَا تُحَمِّلْنَا مَا لَا طَاقَةَ لَنَا بِهٖ ۚ وَاعْفُ عَنَّا ۪ وَاغْفِرْ لَنَا ۪ وَارْحَمْنَا ۪ اَنْتَ مَوْلٰىنَا فَانْــصُرْنَا عَلَي الْقَوْمِ الْكٰفِرِيْنَ","Rabbanaa Laa Too-Akhid’naaa In-Naseenaa Aw Akht’aanaa Rabbanaa wa Laa Tah’mil A’laynaaa Is’ran Kamaa Ha’maltahoo A’lal Lad’eena min Qablinaa Rabbanaa wa Laa Tuh’ammilnaa Maa Laa T’aaqata Lanaa Bih Wa’-Fu A’nnaa Waghfirlanaa Warh’amnaa Anta Mawlaanaa Fans’urnaa A’lal Qawmil Kaafireen","Allah burdens not a person beyond his scope. He gets reward for that (good) which he has earned, and he is punished for that (evil) which he has earned. "Our Lord! Punish us not if we forget or fall into error, our Lord! Lay not on us a burden like that which You did lay on those before us; our Lord! Put not on us a burden greater than we have strength to bear. Pardon us and grant us Forgiveness. Have mercy on us. You are our Maula (Patron, Supporter and Protector, etc.) and give us victory over the disbelieving people."","Surah Al-Baqarah - 2:286"
"Seek protection from culprits",1," قَالَ رَبِّ إِنِّي ظَلَمْتُ نَفْسِي فَاغْفِرْ لِي فَغَفَرَ لَهُ ۚ إِنَّهُ هُوَ الْغَفُورُ الرَّحِيمُ
 رَبِّ بِمَا أَنْعَمْتَ عَلَيَّ فَلَنْ أَكُونَ ظَهِيرًا لِّلْمُجْرِمِينَ
 رَبِّ نَجِّنِي مِنَ الْقَوْمِ الظَّالِمِينَ","Qala Rabbi innee thalamtunafsee faghfir lee faghafara lahu innahu huwa alghafooruarraheem
 Rabbi bima anAAamtaAAalayya falan akoona thaheeran lilmujrimeen
 Rabbi najjinee mina alqawmi aththalimeen","He (Musa) said, "My Lord, indeed I have wronged myself, so forgive me," and He forgave him. Indeed, He is the Forgiving, the Merciful.
 "My Lord, for the favor You bestowed upon me, I will never be an assistant to the criminals.
 My Lord, save me from the wrongdoing people."","Surah Al-Qasas - 28:16-17, 21"
"Settle a debt",1," اللّهُـمَّ اكْفِـني بِحَلالِـكَ عَنْ حَـرامِـك، وَأَغْنِـني بِفَضْـلِكِ عَمَّـنْ سِـواك","Allaahummak-finee bihalaalika 'an haraamika wa 'aghninee bifadhlika 'amman siwaaka","O Allah, suffice me with what You have allowed instead of what You have forbidden, and make me independent of all others besides You.","At-Tirmidhi: 3563"
"Strengthen your Imaan",9," رَبَّنَا اغْفِرْ لَنَا ذُنُوْبَنَا وَ اِسْرَافَنَا فِيْٓ اَمْرِنَا وَثَبِّتْ اَقْدَامَنَا وَانْصُرْنَا عَلَي الْقَوْمِ الْكٰفِرِيْنَ","Rabbanaghfir lanaa d’unoobanaa wa israafanaa fee amrinaa wa thabbit aqdaamanaa wan s’urnaa a’lal qawmil kaafireen","Our Lord! Forgive us our sins and our transgressions (in keeping our duties to You), establish our feet firmly, and give us victory over the disbelieving folk.","Surah Al-Imran - 3:147"
"Takbeer when passing the black stone",1," اللهُ أكْبَر","Allaahu 'Akbar","Allah is the Most Great!","Al-Bukhari:1751,1752,1753"
"Talbiyah",1," لَبَّيْكَ اللَّهُمَّ لَبَّيْكَ، لَبَّيْكَ لَا شَرِيكَ لَكَ لَبَّيْكَ، انَّالْحَمْدَ، وَالنِّعْمَةَ، لَكَ وَالْمُلْكَ، لا شَرِيكَ لَكَ","Labbayk Allaahumma labbayk, labbayk laa shareeka laka labbayk, 'innal-hamda, wanni'mata, laka walmulk, laa shareeka laka.","Ever at Your service, O Allah, every at Your service. Ever at Your Service, You have no partner, ever at Your service. Verily all praise, blessings and dominions are Yours. You have no partner","Muslim 2:841"
"To alleviate pain",1," بِسْمِ اللهِ , بِسْمِ اللهِ , بِسْمِ اللهِ
 أَعُوذُ باللهِ وَقُدْرَتِهِ مَنْ شَرِّ مَا أَجِدُ وَأُحَاذِرُ","Bismillaah, Bismillaah, Bismillaah
 'A'oothu billaahi wa qudratihi min sharri maa 'ajidu wa 'uhaathiru","In the Name of Allah
 I seek refuge in Allah and in His Power from the evil of what I find and of what I guard against.","Ibn Majah: 3522"
"To be a pious Muslim",2," رَبِّ فَلَا تَجْعَلْنِي فِي الْقَوْمِ الظَّالِمِينَ","Rabbi fala tajAAalnee fee alqawmi aththalimeen","My Lord, then do not place me among the wrongdoing people.","Surah Al-Mu'minoon - 23:94"
"To keep your family safe from transgressors.",1," رَبِّ نَجِّنِي وَأَهْلِي مِمَّا يَعْمَلُونَ","Rabbi najjinee waahlee mimma ya'maloon.","My Lord! Save me and my family from what they do.","Surah Ash-Shu'araa - 26:169"
"To make us practising Muslims",1," رَبَّنَا آمَنَّا بِمَا أَنزَلَتْ وَاتَّبَعْنَا الرَّسُولَ فَاكْتُبْنَا مَعَ الشَّاهِدِينَِ","Rabbana amanna bima anzalta wattaba 'nar-Rusula fak-tubna ma'ash-Shahideen","Our Lord! We believe in what Thou hast revealed, and we follow the Messenger. Then write us down among those who bear witness.","Surah Al-Imran - 3:53"
"To trust upon Allah",2," وَأُفَوِّضُ أَمْرِي إِلَى اللَّهِ ۚ إِنَّ اللَّهَ بَصِيرٌ بِالْعِبَادِ","wa ufawwidhu amree ila Allahi innallaha baseerun bil ibaad","And you will remember what I [now] say to you, and I entrust my affair to Allah . Indeed, Allah is Seeing of [His] servants.","Surah Ghafir - 40:44"
"Upon drinking milk",1," اللَّهُمَّ بَارِِكْ لَنا فِيهِ وَزِدْنَا مِنْهُ","Allahumma baarik lana feehi wa zidna minhu","O Allah! Bless us in it and give us increase of it.","At-Tirmidhi 5:506"
